_id,created_at,updated_at,deleted_at,last_updated_at,last_deleted_at,common_order,is_dental
1280,2009-05-31 18:10:17,2011-07-25 21:03:45,,1311627825.344,,,0
1281,2009-05-31 18:10:49,2011-07-25 21:03:45,,1311627825.356,,,0
1282,2009-05-31 18:10:56,2013-07-16 21:29:05,,1374010145.764,,,0
1283,2009-05-31 18:11:22,2011-07-25 21:03:45,,1311627825.392,,,0
1284,2009-05-31 18:11:24,2013-07-16 21:27:44,,1374010064.536,,,0
1285,2009-05-31 18:11:46,2011-08-08 18:05:32,2011-08-08 18:05:32,1311627825.44,,,0
1286,2009-05-31 18:12:05,2013-07-16 21:24:04,,1374009844.112,,,0
1287,2009-05-31 18:12:13,2013-07-16 21:28:04,,1374010084.568,,,0
1288,2009-05-31 18:14:41,2011-07-25 21:03:45,,1311627825.468,,,0
1289,2009-05-31 18:17:30,2013-07-16 21:16:44,,1374009404.501,,,0
1290,2009-05-31 18:18:13,2013-06-23 16:52:48,,1372006368.084,,,0
1291,2009-05-31 18:20:57,2012-01-10 21:40:24,2012-01-10 21:40:24,1326231624.101,1326231624.363,,0
1292,2009-05-31 18:22:33,2011-07-25 21:03:45,,1311627825.5,,,0
1293,2009-05-31 19:35:21,2011-08-08 18:01:34,,1312826494.493,,,0
1294,2009-05-31 20:26:53,2011-07-25 21:03:45,,1311627825.52,,,0
1295,2009-05-31 20:35:45,2014-11-14 20:30:46,,1415997046.355,,3,0
1296,2009-05-31 20:38:00,2011-07-25 21:03:45,,1311627825.536,,,0
1297,2009-05-31 21:26:29,2011-07-25 21:03:45,,1311627825.544,,,0
1298,2009-05-31 23:01:45,2011-07-25 21:03:45,,1311627825.552,,,0
1300,2009-11-26 11:05:20,2013-06-23 17:05:52,,1372007152.445,,,0
1302,2010-04-22 21:16:05,2014-07-01 23:04:07,,1404255847.685,,26,0
1303,2010-08-19 23:06:32,2014-04-03 14:17:01,,1396534621.176,,,0
1304,2011-11-15 21:37:36,2012-01-18 23:48:48,,1326930528.788,,,0
1305,2010-08-19 23:17:43,2012-02-03 16:08:45,2012-02-03 16:08:45,1328285325.397,1328285325.761,,0
1308,2010-08-19 23:27:06,2011-08-02 19:38:57,,1312313937.097,,,0
1317,2012-01-10 21:40:17,2012-01-10 21:40:28,2012-01-10 21:40:28,1326231628.073,1326231628.486,,0
1343,2010-08-20 08:44:58,2013-07-16 21:26:03,,1374009963.858,,,0
1367,2010-10-29 22:28:51,2013-07-16 21:12:35,,1374009155.901,,,0
1386,2010-10-29 23:12:07,2015-02-17 20:17:47,,1424204267.26,,,0
1388,2010-10-29 23:15:11,2011-09-02 22:26:13,2011-09-02 22:26:13,1312313937.285,,,0
1394,2010-10-29 23:26:20,2011-08-08 18:10:01,2011-08-08 18:10:01,1312313937.305,,,0
1396,2010-10-29 23:31:35,2013-06-23 17:04:10,,1372007050.639,,,0
1398,2010-10-30 00:02:30,2014-06-27 19:54:43,,1403898883.635,,,0
1403,2010-10-30 00:35:36,2014-06-27 19:53:53,,1403898833.05,,,0
1411,2010-10-31 07:24:49,2014-11-14 20:30:58,,1415997058.247,,,0
1412,2010-10-31 07:24:49,2013-06-23 16:56:25,,1372006585.293,,,0
1414,2010-11-02 03:38:35,2014-01-24 21:23:37,,1390598617.491,,,0
1415,2010-11-03 01:02:38,2011-08-02 19:38:57,,1312313937.445,,,0
1416,2010-11-03 01:48:49,2015-03-10 17:16:14,,1426007774.426,,,0
1417,2010-11-03 02:37:23,2011-08-02 19:38:57,,1312313937.485,,,0
1418,2010-11-03 02:44:27,2012-01-10 21:40:24,2012-01-10 21:40:24,1326231624.998,1326231625.266,,0
1419,2011-06-03 03:08:19,2011-09-06 16:18:05,2011-09-06 16:18:05,1312313937.553,,,0
1420,2011-06-03 03:18:58,2012-01-10 21:40:26,2012-01-10 21:40:26,1326231626.288,1326231626.632,,0
1421,2011-06-03 03:18:59,2012-01-10 21:40:26,2012-01-10 21:40:26,1326231626.57,1326231626.835,,0
1422,2011-06-03 03:50:37,2011-09-02 22:36:06,2011-09-02 22:36:06,1312827315.619,,,0
1423,2011-06-03 04:04:39,2011-08-02 19:38:57,,1312313937.653,,,0
1424,2011-06-29 20:06:12,2011-08-08 18:30:04,,1312828204.006,,,0
1425,2011-06-29 20:07:53,2012-01-18 23:28:42,2012-01-18 23:28:42,1326929322.849,1326929323.729,,0
1426,2011-07-18 22:24:29,2014-07-01 17:11:56,,1404234716.908,,,0
1427,2011-08-17 15:33:23,2011-08-17 22:38:18,2011-08-17 22:38:18,1313595203.794,,,0
1428,2011-08-17 15:33:33,2011-08-17 22:37:38,2011-08-17 22:37:38,1313595213.485,,,0
1429,2011-08-17 15:33:41,2011-08-17 22:33:19,2011-08-17 22:33:19,1313619893.254,,,0
1430,2011-08-17 15:34:18,2011-08-17 22:35:08,2011-08-17 22:35:08,1313595258.331,,,0
1431,2011-08-17 15:34:25,2011-08-17 22:32:20,2011-08-17 22:32:20,1313619865.043,,,0
1432,2011-08-17 15:34:31,2011-08-17 22:40:19,2011-08-17 22:40:19,1313595271.255,,,0
1433,2011-08-17 15:35:21,2011-08-17 22:38:44,2011-08-17 22:38:44,1313595321.228,,,0
1434,2011-08-17 15:37:28,2011-08-17 22:36:12,2011-08-17 22:36:12,1313595448.722,,,0
1435,2011-08-17 15:38:11,2011-08-17 22:35:41,2011-08-17 22:35:41,1313595491.12,,,0
1436,2011-08-17 15:38:18,2011-08-17 22:36:52,2011-08-17 22:36:52,1313595498.988,,,0
1437,2011-08-17 15:41:17,2011-09-06 16:05:04,2011-09-06 16:05:04,1313620287.2,1313620287.15,,0
1438,2011-08-17 15:46:30,2011-08-17 22:39:52,2011-08-17 22:39:52,1313595990.093,,,0
1439,2011-08-17 16:32:54,2011-08-17 22:34:22,2011-08-17 22:34:22,1313598774.412,,,0
1440,2011-08-17 16:59:07,2011-08-17 22:31:16,2011-08-17 22:31:16,1313620245.99,,,0
1441,2011-08-31 17:09:03,2011-09-02 22:19:49,2011-09-02 22:19:49,1314810543.775,,,0
1442,2011-08-31 17:09:08,2011-09-02 22:22:53,2011-09-02 22:22:53,1314810548.926,,,0
1443,2011-08-31 17:10:04,2011-09-02 22:32:27,2011-09-02 22:32:27,1314810604.551,,,0
1445,2011-09-16 15:39:50,2012-01-18 23:43:15,2012-01-18 23:43:15,1326930195.433,1326930195.848,,0
1446,2011-09-16 15:48:05,2011-09-19 16:49:22,2011-09-19 16:49:22,1316450962.323,1316450962.365,,0
1447,2011-09-16 16:02:28,2013-06-23 17:07:33,,1372007253.722,,,0
1448,2011-09-30 17:46:52,2011-09-30 18:24:40,2011-09-30 18:24:40,1317407080.529,1317407080.573,,0
1449,2011-11-04 18:30:18,2012-12-07 05:51:15,2012-12-07 05:51:46,1354859475.441,1354859507.406,,0
1450,2011-11-15 21:43:04,2011-11-15 21:43:04,,1321393384.054,,,0
1451,2011-11-15 23:05:30,2012-01-18 23:30:06,2012-01-18 23:30:06,1326929406.637,1326929406.936,,0
1452,2011-11-30 16:36:26,2013-06-23 16:54:01,,1372006441.097,,,0
1453,2011-11-30 16:36:26,2011-11-30 16:36:26,,1322670986.959,,,0
1454,2011-11-30 16:45:19,2011-11-30 16:45:19,2012-04-05 16:49:53,1322671519.15,1333644594.426,,0
1455,2011-11-30 16:50:39,2011-11-30 16:50:39,,1322671839.775,,,0
1456,2011-11-30 16:55:01,2012-04-17 18:46:13,2012-01-18 23:41:19,1334688420,1334688420,,0
1457,2011-12-01 23:09:50,2012-01-18 23:14:08,2012-01-18 23:14:08,1326928448.221,1326928448.915,,0
1458,2012-01-04 19:57:35,2012-01-18 23:44:16,2012-01-18 23:44:16,1326930256.581,1326930256.836,,0
1459,2012-01-23 22:23:38,2014-06-27 19:54:31,,1403898871.231,,,0
1460,2012-02-20 16:32:38,2012-02-20 16:32:38,,1329755558.564,,,0
1461,2012-02-20 16:32:42,2012-02-20 16:32:42,,1329755562.539,,,0
1462,2012-02-20 16:32:42,2014-06-27 19:56:43,,1403899003.869,,,0
1463,2012-02-20 16:32:42,2014-06-27 19:56:53,,1403899013.943,,,0
1464,2012-02-20 16:32:43,2012-02-20 16:32:43,,1329755563.942,,,0
1465,2012-02-20 16:32:49,2012-02-20 16:32:49,,1329755569.339,,,0
1466,2012-02-27 20:17:04,2012-02-27 20:35:43,2012-02-27 20:32:06,1330374943.069,1330374726.588,,0
1467,2012-02-28 15:52:47,2012-02-28 15:52:47,2012-03-19 22:05:37,1330444367.211,,,0
1468,2012-03-15 17:54:03,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1469,2012-03-15 17:57:21,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1470,2012-03-15 18:02:18,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1471,2012-03-15 18:36:08,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1472,2012-03-16 06:25:23,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1473,2012-04-06 04:12:27,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1474,2012-04-06 04:17:12,2012-04-06 04:17:12,2012-09-20 15:38:57,1333685832.689,1348155537.929,,0
1475,2012-04-06 04:17:12,2012-07-05 16:49:06,2012-09-20 15:38:38,1341506946.023,1348155519.054,,0
1476,2012-04-06 04:54:26,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1477,2012-04-06 05:08:21,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1478,2012-04-06 05:28:57,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1479,2012-04-06 05:38:58,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1480,2012-04-06 06:00:13,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1481,2012-04-13 20:06:52,2012-04-17 18:46:13,2012-04-17 02:19:56,1334688420,1334688420,,0
1482,2012-05-31 15:46:59,2013-07-16 21:19:48,,1374009588.546,,,0
1483,2012-06-01 20:32:00,2012-06-01 20:32:00,2012-09-20 18:05:43,1338582720.995,1348164343.189,,0
1484,2012-07-12 17:26:20,2012-07-12 17:26:20,2012-12-07 05:50:56,1342113980.418,1354859457.13,,0
1485,2012-07-12 18:27:12,2013-06-23 17:10:40,,1372007440.997,,,0
1486,2012-07-12 18:36:25,2012-07-12 18:36:25,2012-12-07 05:55:12,1342118185.928,1354859712.949,,0
1487,2012-08-15 15:52:53,2012-08-15 15:52:53,2013-04-08 23:16:23,1345045973.81,1365462984.125,,0
1488,2012-12-14 23:21:40,2014-06-27 19:56:33,,1403898993.505,,,0
1489,2012-12-15 00:07:35,2013-06-23 17:46:36,,1372009596.654,,,0
1490,2012-12-15 00:07:35,2012-12-15 00:07:35,,1355530055.124,,,0
